seed,multiplier,mae_horizon1,mae_horizon_gt1
42,0.5,0.3665168899594467,0.5040826435838165
43,0.714,0.3669627838417094,0.47291127805933275
44,0.929,0.3671802281731052,0.4539514106931634
45,1.143,0.3667683447984246,0.4564780030470539
46,1.357,0.3674359721167147,0.4463684403324745
47,1.571,0.36634634905922314,0.4618519840114479
48,1.786,0.367036491043735,0.4484905882608805
49,2.0,0.367903136954886,0.45130820603961874
