mae,rmse,r2,fold,n_train,n_val,fit_predict_seconds
0.36531109203632506,0.4969030913735228,0.7480952578205857,1,359007,359087,9.30308859993238
0.36488669228501636,0.495939159327998,0.6745510668935215,2,718094,359175,17.06918599992059
0.3497190187875689,0.47539003533917545,0.6317738207978316,3,1077269,358833,27.117190400022082
0.39689352027762675,0.5367719337017434,0.6311757351191765,4,1436102,358812,39.78053310001269
0.45934020468909426,0.6324168593630811,0.4017055455397248,5,1794914,359107,52.1050072000362
