mae,rmse,r2,fold,n_train,n_val,fit_predict_seconds
0.3835395407495032,0.5232135490522482,0.6732342090410246,1,1723233,430788,132.4860298000276
0.3363875167406683,0.4653571682355977,0.7346021572961036,2,1723272,430749,138.5856472000014
0.34370196685797044,0.47183444332603786,0.7357721457547046,3,1723165,430856,152.21691570000257
0.3501572922318714,0.49019385200631765,0.7030388645815868,4,1723205,430816,144.6102310999995
0.3627185513273505,0.4984332696670272,0.7063277901803042,5,1723209,430812,146.01722819998395
