lat_band,mae,n
"(-50, -30]",0.40919112719464856,61309
"(50, 70]",0.4004460307150387,540568
"(-30, -10]",0.39906275517171585,187321
"(10, 30]",0.3967875293308751,258198
"(-10, 10]",0.3733704317239798,196529
"(30, 50]",0.3385477797904203,399009
"(-70, -50]",0.2875887540321963,4140
"(70, 90]",0.25703734825102803,147940
