mae,rmse,r2,fold,n_train,n_val,fit_predict_seconds
0.38963707299385275,0.5313077502845075,0.6630457624380675,1,1723233,430788,50.98098690004554
0.3418361505143742,0.4727662630070633,0.7260839205618732,2,1723272,430749,50.751843900070526
0.3479932210592497,0.4775197118333747,0.7293662693838534,3,1723165,430856,49.7660818999866
0.35461394431246485,0.49684692856383866,0.6949232481600525,4,1723205,430816,45.52515440003481
0.3692642346447484,0.507672971001406,0.6953389822879671,5,1723209,430812,45.444277100032195
