mae,rmse,r2,fold,n_train,n_val,fit_predict_seconds
0.3544946649435955,0.48286614896248037,0.7621262785075995,1,359007,359087,58.424366699997336
0.33733173298210856,0.4632799300295035,0.7160034777578563,2,718094,359175,103.72647979995236
0.34324351447059864,0.46586599866076667,0.6463802260441601,3,1077269,358833,190.7750324999215
0.38597198268651145,0.5152320535854329,0.660182584091797,4,1436102,358812,335.07631639996544
0.4311797632129778,0.5940607637858226,0.47207790628929025,5,1794914,359107,396.4896064000204
