mae,rmse,r2,fold,n_train,n_val,fit_predict_seconds
0.36599795152476405,0.4954072752905698,0.7496095813587327,1,359007,359087,2.7478994999546558
0.34998846218794627,0.4787989355924012,0.6966581006964592,2,718094,359175,12.603533399989828
0.34750183145360186,0.4735532408870118,0.6346138010819725,3,1077269,358833,10.036558300023898
0.4012919762019907,0.5406930166212234,0.6257675809423144,4,1436102,358812,12.600319200078957
0.46661003671183393,0.6460551005106508,0.37562253770975074,5,1794914,359107,28.85331799997948
