mae,rmse,r2,fold,n_train,n_val,fit_predict_seconds
0.36575485756385134,0.500618195516227,0.700848020302719,1,1723233,430788,149.46024420007598
0.32061546120817586,0.44431826303139216,0.7580570890914752,2,1723272,430749,150.27689219999593
0.32890749457236285,0.45218248077020107,0.7573240262546668,3,1723165,430856,140.49395659996662
0.3336896819773619,0.47074593231526657,0.7261346758299161,4,1723205,430816,142.05341339996085
0.3468214239314498,0.4789615954173303,0.7288246630164197,5,1723209,430812,142.33687469991855
