mae,rmse,r2,fold,n_train,n_val
0.4018506891445552,0.5443239132775554,0.6977211408598579,1,359007,359087
0.3882253038450092,0.5368467267263244,0.6186474382980072,2,718094,359175
0.3676262486996599,0.5063630986978731,0.5822286910098003,3,1077269,358833
0.444792264751202,0.6076332406464197,0.5273682052776668,4,1436102,358812
0.50372546493569,0.6827403570110219,0.30270066823517927,5,1794914,359107
