horizon,mae,n
7.0,1.361061008060467,32
4.0,0.8228202974940053,15705
8.0,0.7310272436941747,43
6.0,0.6637914057144167,42
3.0,0.46276693600255986,31125
5.0,0.4618291815645345,15624
2.0,0.3663404449315921,78046
1.0,0.36460446584294526,1654397
