mae,rmse,r2,fold,n_train,n_val
0.3849601500848526,0.5331777235737328,0.7099739964473515,1,359007,359087
0.383939088132412,0.5358193132994173,0.6201057011664204,2,718094,359175
0.3795275523857006,0.5262987780622885,0.5486855523485623,3,1077269,358833
0.430763686252317,0.5998372202624889,0.5394182696559935,4,1436102,358812
0.5336317369216285,0.7635134684203398,0.1279497637422039,5,1794914,359107
