fold,n_models,mae,rmse,r2,cumulative_fit_predict_seconds
1,1,0.3662723912277215,0.49836157093182193,0.7466143368706414,8.468528999947011
1,2,0.35898114452918783,0.4877501262340962,0.7572899682979279,16.94413069996517
1,3,0.35709147415935494,0.48594178849934744,0.7590863311052735,25.88725849997718
1,4,0.35586024573698366,0.4842816438746498,0.7607296075459666,34.010193299967796
1,5,0.3558523989657968,0.4844038711639651,0.7606088139439133,42.49205110000912
1,6,0.3562125378016955,0.48508561741709166,0.7599345051701784,50.71497820003424
1,7,0.35520410080045856,0.48375492237128637,0.7612498020474021,59.40198019996751
1,8,0.3555861644055722,0.4839303613408841,0.7610765999485505,67.78172019997146
1,9,0.35540333403333746,0.4838289943345767,0.7611766821719861,75.82551989995409
1,10,0.3557865775830186,0.4841919806206174,0.7608181996956109,84.3670482999878
1,11,0.3559087185305182,0.48437945654325587,0.7606329446252209,92.5843792000087
1,12,0.35601330380024354,0.4844913546847603,0.7605223378598536,100.66336559993215
1,13,0.35669718127536965,0.4851473341365469,0.7598734149346588,109.01255899993703
1,14,0.3566043175585319,0.485114975717761,0.7599054458536327,117.1267879998777
1,15,0.35653038935265535,0.48509909818435787,0.7599211619090427,125.28921839979012
2,1,0.34406253428550093,0.47319143629594984,0.7037217289174194,15.863332699984312
2,2,0.3414256594208895,0.4692471668988608,0.7086403762649951,30.85952569998335
2,3,0.33948814870486527,0.466534031696463,0.7119998542594346,45.958540899911895
2,4,0.3386161742880503,0.46550437628243013,0.7132697023373034,60.840231199981645
2,5,0.3383020446327662,0.46509440021445475,0.7137745345189908,76.72502679994795
2,6,0.3381471954552952,0.46486900312796275,0.7140518922049912,92.13334119995125
2,7,0.3378239642354461,0.4643300797562024,0.7147145080851243,108.9369524999056
2,8,0.3374702433460768,0.4638598597211583,0.7152920241046873,124.93155619991012
2,9,0.3375031122204759,0.4638716281698981,0.715277577440881,140.71057160000782
2,10,0.3379486092438824,0.46448458777525714,0.714524616316863,156.82681660004891
2,11,0.33799163555973644,0.4645404383973746,0.7144559598457266,172.7131243001204
2,12,0.337939496022886,0.4644504372303111,0.7145665930875997,187.93925670010503
2,13,0.3376736958859384,0.46413203961217697,0.7149578088488305,202.72145550011192
2,14,0.33763523983904786,0.46404142631658146,0.7150690965378399,218.57666700007394
2,15,0.33759199369178533,0.46397126247086296,0.7151552540893718,234.0391593000386
3,1,0.34548942988049564,0.4682376159547925,0.6427706667995976,25.528654200024903
3,2,0.3432104324878679,0.46563073590955945,0.6467372924741184,50.41630629997235
3,3,0.34385566402233986,0.46620857311584535,0.6458599663889939,74.87849450006615
3,4,0.3432845083601495,0.4656527510982162,0.6467038869086996,101.35429890011437
3,5,0.3431968136727751,0.46580904348639984,0.6464666854328704,128.0279552001739
3,6,0.34306337762425454,0.46559893726537044,0.6467855405415532,152.7362180001801
3,7,0.3430328755230631,0.465557443567268,0.6468484939544655,177.96963610011153
3,8,0.34292487254648596,0.46550489838729864,0.646928206404616,204.8805200001225
3,9,0.34280113332603396,0.4654419565976924,0.6470236789473137,230.87378390005324
3,10,0.3428452347374276,0.4655413000942812,0.6468729849943257,255.26397080009338
3,11,0.3428074510650416,0.46554254180725113,0.6468711012388813,281.48917320009787
3,12,0.3427706865684434,0.4655289823040911,0.6468916715724458,308.6469092001207
3,13,0.34274790281637624,0.46549402248309224,0.6469447043197205,334.6016239001183
3,14,0.3425187098968321,0.46527676844539223,0.6472741813294542,359.7992939001415
3,15,0.3424707760363971,0.4652354886607256,0.6473367668738887,384.1468171001179
4,1,0.4024961957227768,0.542036154689297,0.6239060066098105,34.739274300052784
4,2,0.3838598895498996,0.5139193314099799,0.6619119702181261,70.28745069995057
4,3,0.38379412278213737,0.5131366591816632,0.6629409667951449,109.40989490004722
4,4,0.3826905464217372,0.5116959868062582,0.664830950527876,147.09993190004025
4,5,0.3821411457758892,0.5103691696053705,0.6665668699490017,183.7987759000389
4,6,0.38123319696686786,0.5090580619199393,0.6682778087668824,221.56833539996296
4,7,0.38122581190774335,0.5091058267097462,0.6682155550269921,259.3096632999368
4,8,0.38104038119345796,0.5094415318928027,0.6677778523936981,295.61101199989207
4,9,0.3798947912391747,0.5079652457642673,0.6697005237290086,330.63760679983534
4,10,0.38054490459073437,0.5086539969731322,0.6688042088909794,366.06416239985265
4,11,0.38167964304204494,0.5102546848115013,0.6667164430188322,405.7142157998169
4,12,0.38028647790844666,0.508443458920544,0.6690783240513665,445.9397313998779
4,13,0.380716737792721,0.5090019520053553,0.6683509315771187,481.24479839985725
4,14,0.38059708728660047,0.5088877386604761,0.6684997502585983,515.9865647999104
4,15,0.3803509939101299,0.5085032968116413,0.6690004281906876,550.7804303999292
5,1,0.46054353793280006,0.6342604956766625,0.3982121371455678,50.32001969998237
5,2,0.434914735298249,0.6006785777705282,0.46025032831799817,94.44114299991634
5,3,0.43403254010347725,0.600752167032933,0.4601180705191297,142.33939709991682
5,4,0.4301960383804878,0.5947785933080914,0.4708013129062063,185.38384589995258
5,5,0.4298305404155915,0.594954179212967,0.47048881495516237,228.4445187000092
5,6,0.4252856754982895,0.5897633682459408,0.47968818595504437,268.29060130007565
5,7,0.42623693702577126,0.5908093574032864,0.47784092594956773,306.30469160014763
5,8,0.4245742427021436,0.5893042878920118,0.48049790719796526,345.08794670004863
5,9,0.42718209517996647,0.5908179044347488,0.47782581805643787,391.8591527000535
5,10,0.42834747053020256,0.5917797154625797,0.4761243067000075,435.7982056000037
5,11,0.42860574598103673,0.5920481999862436,0.47564884456902523,480.05061319994275
5,12,0.4278299127955305,0.5908212869602061,0.47781983898062974,526.5639233000111
5,13,0.42792850052372244,0.5907280478008398,0.477984639398487,574.4770441999426
5,14,0.42806612662119475,0.5903681666089493,0.47862048625253617,616.639730899944
5,15,0.42732426801193935,0.5898451589802572,0.4795438581157747,661.9476265000412
